Search kospi: 
 code:008700 | X | X | X | O | O | O | O | O || ........ |
 code:008730 | X | X | O | O | O | O | O | X || ........ |
 code:008770 | O | X | X | X | O | O | O | O || ........ |
 code:008775 | X | X | O | X | O | O | O | O || ........ |
 code:008870 | X | X | O | X | O | O | O | O || ........ |
 code:008930 | O | X | X | O | X | O | O | O || ........ |
 code:008970 | X | X | X | X | O | O | O | O || ........ |
 code:009070 | X | X | O | X | O | O | O | O || ........ |
 code:009140 | X | O | X | O | X | X | X | X || ........ |
 code:009150 | O | X | X | X | O | O | O | O || ........ |
 code:009155 | X | X | X | O | O | O | O | O || ........ |
 code:009160 | X | X | X | O | O | O | O | O || ........ |
 code:009180 | X | X | X | X | O | O | O | O || ........ |
 code:009190 | X | X | X | O | O | O | O | O || ........ |
 code:009200 | X | X | O | O | X | X | O | O || ........ |
 code:009240 | O | X | X | O | O | O | O | O || ........ |
 code:009270 | X | X | X | X | O | O | O | O || ........ |
 code:009275 | X | X | X | X | O | O | O | O || ........ |
 code:009290 | X | X | O | O | O | O | O | O || ........ |
 code:009310 | X | X | O | O | O | O | O | O || ........ |
 code:009320 | X | X | O | X | O | O | O | O || ........ |
 code:009410 | X | X | X | O | X | X | O | X || ........ |
 code:009415 | X | X | O | X | O | O | X | X || ........ |
 code:009420 | O | X | O | O | O | O | O | O || ........ |
 code:009440 | X | O | X | O | O | O | O | O || ........ |
 code:009450 | X | X | O | O | O | O | O | O || ........ |
 code:009460 | X | X | X | X | X | X | X | X || ........ |
 code:009470 | X | X | X | O | O | O | O | O || ........ |
 code:009540 | O | O | O | X | O | O | O | O || ........ |
 code:009580 | X | X | X | O | O | O | O | O || ........ |
 code:009680 | X | O | X | O | X | X | O | X || ........ |
 code:009770 | X | O | O | O | X | O | X | O || ........ |
 code:009810 | X | X | O | O | O | O | O | O || ........ |
 code:009830 | O | O | X | O | O | O | O | O || ........ |
 code:009835 | X | O | X | O | O | O | O | O || ........ |
 code:009970 | X | X | O | O | X | O | O | X || ........ |
 code:010040 | X | X | O | O | X | X | O | O || ........ |
 code:010050 | X | X | X | O | O | O | O | O || ........ |
 code:010060 | O | X | O | O | X | X | O | O || ........ |
 code:010100 | X | X | X | O | O | O | O | O || ........ |
 code:010120 | O | X | X | O | X | O | O | O || ........ |
 code:010130 | O | X | O | O | X | X | X | X || ........ |
 code:010140 | O | O | X | O | O | O | O | O || ........ |
 code:010145 | X | X | O | X | X | X | O | X || ........ |
 code:010420 | O | O | X | X | O | O | O | O || ........ |
 code:010580 | X | X | X | X | X | X | X | O || ........ |
 code:010600 | X | X | X | O | X | O | O | O || ........ |
 code:010620 | O | X | X | X | O | O | O | O || ........ |
 code:010640 | X | X | O | X | O | O | O | O || ........ |
 code:010660 | X | X | X | O | O | O | O | O || ........ |
 code:010690 | X | X | X | O | X | X | O | O || ........ |
 code:010770 | X | X | O | X | O | O | O | O || ........ |
 code:010780 | X | X | X | O | X | O | O | O || ........ |
 code:010820 | X | X | X | O | O | O | O | O || ........ |
 code:010950 | O | O | X | X | O | X | X | X || ........ |
 code:010955 | X | O | X | O | O | O | O | X || ........ |
 code:010960 | X | X | O | O | O | O | O | O || ........ |
 code:011000 | X | X | X | X | O | O | O | O || ........ |
 code:011070 | O | X | X | O | O | O | O | O || ........ |
 code:011090 | X | X | X | X | O | O | O | O || ........ |
 code:011150 | X | X | X | O | O | O | O | O || ........ |
 code:011155 | X | X | X | O | X | X | O | O || ........ |
 code:011160 | X | X | O | O | O | O | O | O || ........ |
 code:011170 | O | X | O | O | X | X | O | O || ........ |
 code:011200 | O | O | X | O | O | O | O | O || ........ |
 code:011210 | O | X | X | X | O | O | O | O || ........ |
 code:011230 | X | X | X | X | O | O | O | O || ........ |
 code:011280 | X | O | O | O | X | O | O | O || ........ |
 code:011300 | X | X | X | O | O | O | O | O || ........ |
 code:011330 | X | X | X | X | X | X | X | X || ........ |
 code:011390 | X | X | X | O | O | O | O | O || ........ |
 code:011420 | X | X | X | O | O | O | O | O || ........ |
 code:011500 | X | X | X | O | O | O | O | O || ........ |
 code:011690 | X | X | X | O | O | O | O | X || ........ |
 code:011700 | X | X | O | O | O | O | O | O || ........ |
 code:011720 | X | X | O | O | O | O | O | O || ........ |
 code:011760 | X | X | O | O | O | O | O | O || ........ |
 code:011780 | O | X | O | O | O | O | O | O || ........ |
 code:011785 | X | X | X | O | O | O | O | O || ........ |
 code:011790 | X | X | O | O | X | O | O | O || ........ |
 code:011810 | O | O | O | X | X | X | X | X || ........ |
 code:011930 | X | X | X | O | O | O | O | O || ........ |
 code:012030 | X | O | O | O | O | O | O | O || ........ |
 code:012160 | X | X | X | O | O | O | O | O || ........ |
 code:012170 | X | X | O | X | O | O | O | O || ........ |
 code:012200 | X | X | X | O | O | O | O | O || ........ |
 code:012205 | X | X | O | X | O | O | X | X || ........ |
 code:012280 | X | X | X | X | O | O | O | O || ........ |
 code:012320 | X | X | X | O | O | O | O | O || ........ |
 code:012330 | O | X | X | O | O | O | X | X || ........ |
 code:012450 | O | X | O | O | O | O | O | O || ........ |
 code:012510 | X | O | X | O | O | O | O | O || ........ |
 code:012600 | X | X | O | X | O | O | O | O || ........ |
 code:012610 | X | X | O | X | O | O | O | O || ........ |
 code:012630 | O | X | X | O | X | O | O | O || ........ |
 code:012690 | O | O | O | X | X | X | X | X || ........ |
 code:012750 | X | X | O | O | X | X | O | O || ........ |
 code:012800 | X | X | X | X | O | O | O | O || ........ |
 code:013000 | X | X | X | O | O | O | O | O || ........ |
 code:013360 | X | X | X | O | O | O | O | O || ........ |
 code:013367 | X | X | O | O | X | O | O | O || ........ |
 code:013520 | X | X | O | O | X | O | O | O || ........ |
 code:013570 | X | X | X | O | X | X | O | O || ........ |
