<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:002840 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002870 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002880 | O | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:002900 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:002920 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002960 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:002990 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002995 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003000 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003010 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003030 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003060 | O | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:003070 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003075 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003080 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003090 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003120 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003160 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003200 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003220 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003230 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:003240 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003280 | X | X | X | X | X | O | X | X | 5 | ........ | ........ |
 code:003300 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003350 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003410 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003415 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003419 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003460 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003465 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003470 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003475 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003480 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003490 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:003495 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003520 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:003530 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003535 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:003540 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003545 | O | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003547 | O | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003550 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:003555 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003560 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:003570 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003580 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003610 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003620 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003650 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003680 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003690 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003720 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:003780 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003830 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:003850 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003920 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003925 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:003960 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004000 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004020 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:004060 | X | X | X | X | X | O | X | X | 5 | ........ | ........ |
 code:004080 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004090 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004100 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:004105 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004130 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004135 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:004140 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:004150 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004170 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004200 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004250 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004255 | O | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:004270 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:004310 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004360 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004365 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004370 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:004380 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004410 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004415 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004430 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004440 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004450 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004490 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004540 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004545 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004560 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004565 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004690 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004700 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004710 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004720 | X | O | O | O | O | O | X | X | 5 | ........ | ........ |
 code:004740 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:004770 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:004800 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:004830 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004835 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004840 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004870 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004890 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004910 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004920 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:004960 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004970 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004980 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004985 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004987 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004989 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:004990 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005010 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:005030 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005070 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005090 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005110 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005180 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005190 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005250 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005255 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005257 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005300 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005305 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:005320 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005360 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005380 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:005385 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005387 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005389 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005390 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:005420 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005430 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005440 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005450 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005490 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005500 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005610 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005620 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005680 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005690 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005720 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005725 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005740 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005745 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005750 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005800 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:005810 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:005820 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005830 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:005850 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005870 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005880 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005930 | X | O | O | O | O | O | X | X | 5 | ........ | ........ |
 code:005935 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005940 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:005945 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005950 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005960 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005965 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:005980 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:006040 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:006060 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006090 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006110 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006120 | O | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006125 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006200 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:006220 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006260 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006280 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006340 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:006345 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006360 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006370 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006380 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006390 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
